Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module fft_minimal_tb.dut.tw_rom.inst.\native_mem_module.blk_mem_gen_v8_4_5_inst  is using a behavioral model for simulation which will not precisely model memory collision behavior.

=================================================
TEST: DC Signal (Input 0.5)
=================================================

=== ALL FFT OUTPUT BINS ===
Bin | Mag(Approx) | Mag(Exact) | Error% | Real     | Imag     | Hex(Re)  | Hex(Im)
----|-------------|------------|--------|----------|----------|----------|----------
  0 |       16128 |   16128.00 |   0.00 |   -16128 |        0 | c100 | 0000  <-- PEAK
  1 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
  2 |         258 |     254.28 |   1.46 |      254 |       12 | 00fe | 000c          
  3 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
  4 |         262 |     254.23 |   3.06 |      253 |       25 | 00fd | 0019          
  5 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
  6 |         265 |     254.85 |   3.98 |      252 |       38 | 00fc | 0026          
  7 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
  8 |         268 |     254.95 |   5.12 |      250 |       50 | 00fa | 0032          
  9 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 10 |         269 |     254.42 |   5.73 |      247 |       61 | 00f7 | 003d          
 11 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 12 |         271 |     254.97 |   6.29 |      244 |       74 | 00f4 | 004a          
 13 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 14 |         272 |     255.88 |   6.30 |      241 |       86 | 00f1 | 0056          
 15 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 16 |         271 |     254.62 |   6.44 |      235 |       98 | 00eb | 0062          
 17 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 18 |         271 |     255.43 |   6.10 |      231 |      109 | 00e7 | 006d          
 19 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 20 |         270 |     255.00 |   5.88 |      225 |      120 | 00e1 | 0078          
 21 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 22 |         267 |     254.85 |   4.77 |      218 |      132 | 00da | 0084          
 23 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 24 |         264 |     255.16 |   3.46 |      212 |      142 | 00d4 | 008e          
 25 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 26 |         261 |     255.00 |   2.35 |      204 |      153 | 00cc | 0099          
 27 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 28 |         258 |     255.83 |   0.85 |      198 |      162 | 00c6 | 00a2          
 29 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 30 |         254 |     256.29 |   0.89 |      190 |      172 | 00be | 00ac          
 31 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 32 |         248 |     255.27 |   2.85 |      180 |      181 | 00b4 | 00b5          
 33 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 34 |         254 |     256.29 |   0.89 |      172 |      190 | 00ac | 00be          
 35 |           0 |       0.00 |   0.00 |        0 |        0 | 0000 | 0000          
 36 |         258 |     255.83 |   0.85 |      162 |      198 | 00a2 | 00c6          
